HGNC ID	Approved Symbol
HGNC:10252	ROCK2
HGNC:10253	PTBP3
HGNC:10254	ROM1
HGNC:10256	ROR1
HGNC:10257	ROR2
HGNC:10258	RORA
HGNC:10259	RORB
HGNC:10260	RORC
HGNC:10261	ROS1
HGNC:10263	RP1
HGNC:1027	BDH1
HGNC:10274	RP2
HGNC:10276	RP22
HGNC:10278	RP24
HGNC:10282	RP29
HGNC:10286	RP6
HGNC:10288	RP9
HGNC:10289	RPA1
HGNC:1029	BDKRB1
HGNC:10290	RPA2
HGNC:10291	RPA3
HGNC:10293	RPE
HGNC:10294	RPE65
HGNC:10295	RPGR
HGNC:10296	RPH3AL
HGNC:10297	RPIA
HGNC:10298	RPL10
HGNC:10299	RPL10A
HGNC:103	CNNM2
HGNC:1030	BDKRB2
HGNC:10300	RPL10P1
HGNC:10301	RPL11
HGNC:10302	RPL12
HGNC:10303	RPL13
HGNC:10304	RPL13A
HGNC:10305	RPL14
HGNC:10306	RPL15
HGNC:10307	RPL17
HGNC:10310	RPL18
HGNC:10311	RPL18A
HGNC:10312	RPL19
HGNC:10313	RPL21
HGNC:10314	RPL21P1
HGNC:10315	RPL22
HGNC:10316	RPL23
HGNC:10317	RPL23A
HGNC:10318	RPL23AP1
HGNC:10319	RPL23AP2
HGNC:1032	BDMR
HGNC:10320	RPL23AP3
HGNC:10321	RPL23AP4
HGNC:10322	MRPL23
HGNC:10324	RPL23P2
HGNC:10325	RPL24
HGNC:10327	RPL26
HGNC:10328	RPL27
HGNC:10329	RPL27A
HGNC:1033	BDNF
HGNC:10330	RPL28
HGNC:10331	RPL29
HGNC:10332	RPL3
HGNC:10333	RPL30
HGNC:10334	RPL31
HGNC:10335	RPL31P1
HGNC:10336	RPL32
HGNC:10337	RPL32P4
HGNC:10338	RPL32P5
HGNC:10339	RPL32P1
HGNC:1034	BECN1
HGNC:10340	RPL34
HGNC:10341	RPL34P1
HGNC:10342	RPL34P2
HGNC:10343	RPL34P3
HGNC:10344	RPL35
HGNC:10345	RPL35A
HGNC:10346	RPL36AL
HGNC:10347	RPL37
HGNC:10348	RPL37A
HGNC:10349	RPL38
HGNC:10350	RPL39
HGNC:10351	RPL3L
HGNC:10352	RPL3P1
HGNC:10353	RPL4
HGNC:10354	RPL41
HGNC:10355	RPL41P5
HGNC:10356	RPL41P1
HGNC:10357	RPL41P2
HGNC:10358	RPL41P3
HGNC:10359	RPL36A
HGNC:1036	BEX1
HGNC:10360	RPL5
HGNC:10361	RPL5P1
HGNC:10362	RPL6
HGNC:10363	RPL7
HGNC:10364	RPL7A
HGNC:10367	RPL7P
HGNC:10368	RPL8
HGNC:10369	RPL9
HGNC:1037	CFB
HGNC:10371	RPLP0
HGNC:10372	RPLP1
HGNC:10377	RPLP2
HGNC:10378	MRPL12
HGNC:10379	MRPL3
HGNC:10380	MRPS12
HGNC:10381	RPN1
HGNC:10382	RPN2
HGNC:10383	RPS10
HGNC:10384	RPS11
HGNC:10385	RPS12
HGNC:10386	RPS13
HGNC:10387	RPS14
HGNC:10388	RPS15
HGNC:10389	RPS15A
HGNC:10396	RPS16
HGNC:10397	RPS17
HGNC:10398	RPS17P2
HGNC:10399	RPS17P3
HGNC:104	CNNM3
HGNC:1040	BFSP1
HGNC:10401	RPS18
HGNC:10402	RPS19
HGNC:10404	RPS2
HGNC:10405	RPS20
HGNC:10406	RPS20P3
HGNC:10407	RPS20P4
HGNC:10408	RPS20P1
HGNC:10409	RPS21
HGNC:1041	BFSP2
HGNC:10410	RPS23
HGNC:10411	RPS24
HGNC:10412	RPS24P1
HGNC:10413	RPS25
HGNC:10414	RPS26
HGNC:10415	RPS26P1
HGNC:10416	RPS27
HGNC:10417	RPS27A
HGNC:10418	RPS28
HGNC:10419	RPS29
HGNC:10420	RPS3
HGNC:10421	RPS3A
HGNC:10422	RPS3AP1
HGNC:10424	RPS4X
HGNC:10425	RPS4Y1
HGNC:10426	RPS5
HGNC:10427	RPS5P3
HGNC:10428	RPS5P1
HGNC:10429	RPS6
HGNC:1043	BGLAP
HGNC:10430	RPS6KA1
HGNC:10431	RPS6KA2
HGNC:10432	RPS6KA3
HGNC:10433	RPS6KA4
HGNC:10434	RPS6KA5
HGNC:10435	RPS6KA6
HGNC:10436	RPS6KB1
HGNC:10437	RPS6KB2
HGNC:10438	RPS6KB3
HGNC:10439	RPS6KC1
HGNC:1044	BGN
HGNC:10440	RPS7
HGNC:10441	RPS8
HGNC:10442	RPS9
HGNC:10443	RPS9P1
HGNC:10445	RQCD1
HGNC:10446	RRAD
HGNC:10447	RRAS
HGNC:10448	RRBP1
HGNC:10449	RREB1
HGNC:10450	RRH
HGNC:10451	RRM1
HGNC:10452	RRM2
HGNC:10454	RRM2P2
HGNC:10455	RRM2P3
HGNC:10456	RRM2P4
HGNC:10457	RS1
HGNC:10458	RSC1A1
HGNC:1046	BHLHE40
HGNC:10461	CLIP1
HGNC:10462	RSS
HGNC:10464	RSU1
HGNC:10466	RTKN
HGNC:10467	RTN1
HGNC:10468	RTN2
HGNC:10469	RTN3
HGNC:1047	BHMT
HGNC:10471	RUNX1
HGNC:10472	RUNX2
HGNC:10473	RUNX3
HGNC:10474	RUVBL1
HGNC:10475	RUVBL2
HGNC:10476	RVNP2
HGNC:10477	RXRA
HGNC:10478	RXRB
HGNC:10479	RXRG
HGNC:1048	BHMT2
HGNC:10480	RYBP
HGNC:10481	RYK
HGNC:10482	RYKP1
HGNC:10483	RYR1
HGNC:10484	RYR2
HGNC:10485	RYR3
HGNC:10486	S100A1
HGNC:10487	S100A10
HGNC:10488	S100A11
HGNC:10489	S100A12
HGNC:1049	BICD1
HGNC:10490	S100A13
HGNC:10491	S100A11P1
HGNC:10492	S100A2
HGNC:10493	S100A3
HGNC:10494	S100A4
HGNC:10495	S100A5
HGNC:10496	S100A6
HGNC:10497	S100A7
HGNC:10498	S100A8
HGNC:10499	S100A9
HGNC:105	CNNM4
HGNC:1050	BID
HGNC:10500	S100B
HGNC:10504	S100P
HGNC:10505	S11
HGNC:10506	S12
HGNC:10509	S7
HGNC:1051	BIK
HGNC:10512	SAA@
HGNC:10513	SAA1
HGNC:10514	SAA2
HGNC:10515	SAA3P
HGNC:10516	SAA4
HGNC:10518	VPS52
HGNC:10519	SACS
HGNC:1052	BIN1
HGNC:10520	SAFB
HGNC:10521	SAG
HGNC:10522	ACSM3
HGNC:10523	SAI1
HGNC:10524	SALL1
HGNC:10525	SALL1P1
HGNC:10526	SALL2
HGNC:10527	SALL3
HGNC:10528	SAMSN1
HGNC:1053	BIN2
HGNC:10530	SAP18
HGNC:10532	SAP30
HGNC:10534	SAR1A
HGNC:10535	SAR1B
HGNC:10536	SARDH
HGNC:10537	SARS
HGNC:10538	SART1
HGNC:10539	TSPAN31
HGNC:1054	BIN3
HGNC:10540	SAT1
HGNC:10541	SATB1
HGNC:10542	SBF1
HGNC:10545	MSMO1
HGNC:10546	SC4MOP
HGNC:10547	SC5D
HGNC:10548	ATXN1
HGNC:10549	ATXN10
HGNC:1055	BLCAP
HGNC:10555	ATXN2
HGNC:10560	ATXN7
HGNC:10561	ATXN8OS
HGNC:10563	SCAMP1
HGNC:10564	SCAMP2
HGNC:10565	SCAMP3
HGNC:10566	SCAND1
HGNC:10567	SCAND2P
HGNC:10569	SERPINB3
HGNC:1057	BLK
HGNC:10570	SERPINB4
HGNC:10571	SCD
HGNC:10572	SCDP1
HGNC:10573	SCEL
HGNC:10575	SCG2
HGNC:10576	CLEC11A
HGNC:10577	STMN2
HGNC:1058	BLM
HGNC:10580	SCML1
HGNC:10581	SCML2
HGNC:10582	SCN10A
HGNC:10583	SCN11A
HGNC:10585	SCN1A
HGNC:10586	SCN1B
HGNC:10588	SCN2A
HGNC:10589	SCN2B
HGNC:1059	BLMH
HGNC:10590	SCN3A
HGNC:10591	SCN4A
HGNC:10592	SCN4B
HGNC:10593	SCN5A
HGNC:10594	SCN7A
HGNC:10596	SCN8A
HGNC:10597	SCN9A
HGNC:10599	SCNN1A
HGNC:1060	CXCR5
HGNC:10600	SCNN1B
HGNC:10601	SCNN1D
HGNC:10602	SCNN1G
HGNC:10603	SCO1
HGNC:10604	SCO2
HGNC:10606	SCP2
HGNC:10607	SCT
HGNC:10608	SCTR
HGNC:10609	CCL1
HGNC:10610	CCL11
HGNC:10611	CCL13
HGNC:10612	CCL14
HGNC:10613	CCL15
HGNC:10614	CCL16
