HGNC ID	Approved Symbol
209	ADAM3A
210	ADAM3B
212	ADAM5
213	ADAM6
214	ADAM7
215	ADAM8
216	ADAM9
188	ADAM10
189	ADAM11
190	ADAM12
193	ADAM15
195	ADAM17
196	ADAM18
197	ADAM19
199	ADAM20
20102	ADAM20P1
43901	ADAM20P2
43902	ADAM20P3
200	ADAM21
19822	ADAM21P1
201	ADAM22
202	ADAM23
203	ADAM24P
206	ADAM28
207	ADAM29
208	ADAM30
15479	ADAM32
15478	ADAM33
16299	ADAMDEC1
217	ADAMTS1
218	ADAMTS2
219	ADAMTS3
220	ADAMTS4
221	ADAMTS5
222	ADAMTS6
223	ADAMTS7
49407	ADAMTS7P1
49409	ADAMTS7P3
49410	ADAMTS7P4
224	ADAMTS8
13202	ADAMTS9
40625	ADAMTS9-AS1
42435	ADAMTS9-AS2
13201	ADAMTS10
14605	ADAMTS12
1366	ADAMTS13
14899	ADAMTS14
16305	ADAMTS15
17108	ADAMTS16
17109	ADAMTS17
17110	ADAMTS18
17111	ADAMTS19
40797	ADAMTS19-AS1
17178	ADAMTS20
14632	ADAMTSL1
14631	ADAMTSL2
14633	ADAMTSL3
19706	ADAMTSL4
32041	ADAMTSL4-AS1
27912	ADAMTSL5
16486	ADAP1
16487	ADAP2
225	ADAR
226	ADARB1
227	ADARB2
23299	ADARB2-AS1
228	ADAT1
21172	ADAT2
25151	ADAT3
19038	ADCK1
19039	ADCK2
21738	ADCK5
229	ADCP1
232	ADCY1
233	ADCY2
234	ADCY3
235	ADCY4
236	ADCY5
237	ADCY6
238	ADCY7
239	ADCY8
240	ADCY9
21285	ADCY10
44143	ADCY10P1
241	ADCYAP1
242	ADCYAP1R1
243	ADD1
244	ADD2
245	ADD3
48682	ADD3-AS1
247	ADFN
21212	ADGB
13838	ADGRA1
49543	ADGRA1-AS1
17849	ADGRA2
13839	ADGRA3
943	ADGRB1
944	ADGRB2
945	ADGRB3
19893	ADGRD1
18651	ADGRD2
3336	ADGRE1
3337	ADGRE2
23647	ADGRE3
19240	ADGRE4P
1711	ADGRE5
18990	ADGRF1
18991	ADGRF2
18989	ADGRF3
19011	ADGRF4
19030	ADGRF5
32922	ADGRF5P1
32921	ADGRF5P2
4512	ADGRG1
4516	ADGRG2
13728	ADGRG3
18992	ADGRG4
19010	ADGRG5
13841	ADGRG6
19241	ADGRG7
20973	ADGRL1
18582	ADGRL2
20974	ADGRL3
50604	ADGRL3-AS1
20822	ADGRL4
17416	ADGRV1
249	ADH1A
250	ADH1B
251	ADH1C
252	ADH4
253	ADH5
22976	ADH5P2
22991	ADH5P3
21377	ADH5P4
255	ADH6
256	ADH7
16354	ADHFE1
30576	ADI1
52339	ADI1P1
52340	ADI1P2
52341	ADI1P3
28606	ADIG
13633	ADIPOQ
40648	ADIPOQ-AS1
24040	ADIPOR1
44910	ADIPOR1P1
44911	ADIPOR1P2
24041	ADIPOR2
24043	ADIRF
45127	ADIRF-AS1
257	ADK
259	ADM
28898	ADM2
27293	ADM5
15766	ADNP
51227	ADNP-AS1
23803	ADNP2
23506	ADO
262	ADORA1
263	ADORA2A
37122	ADORA2A-AS1
264	ADORA2B
265	ADORA2BP1
268	ADORA3
25250	ADPGK
44144	ADPGK-AS1
269	ADPRH
21303	ADPRHL1
21304	ADPRHL2
30925	ADPRM
277	ADRA1A
278	ADRA1B
280	ADRA1D
281	ADRA2A
282	ADRA2B
283	ADRA2C
285	ADRB1
286	ADRB2
288	ADRB3
15759	ADRM1
291	ADSL
292	ADSS
20093	ADSSL1
21214	ADTRP
303	AEBP1
24051	AEBP2
25722	AEN
307	AES
309	AF8T
310	AFA
24017	AFAP1
28141	AFAP1-AS1
26714	AFAP1L1
25901	AFAP1L2
312	AFD1
7137	AFDN
21236	AFDN-AS1
7135	AFF1
3776	AFF2
41334	AFF2-IT1
6473	AFF3
17869	AFF4
314	AFG3L1P
315	AFG3L2
24169	AFG3L2P1
316	AFM
20910	AFMID
317	AFP
25951	AFTPH
318	AGA
16922	AGAP1
41427	AGAP1-IT1
16921	AGAP2
48633	AGAP2-AS1
16923	AGAP3
23459	AGAP4
23467	AGAP5
23466	AGAP6
23465	AGAP7P
23463	AGAP9
23659	AGAP10P
29421	AGAP11
23661	AGAP12P
23499	AGAP13P
23660	AGAP14
26504	AGBL1
48617	AGBL1-AS1
26296	AGBL2
27981	AGBL3
25892	AGBL4
41482	AGBL4-IT1
26147	AGBL5
41133	AGBL5-AS1
41484	AGBL5-IT1
320	AGER
5175	AGFG1
5177	AGFG2
24684	AGGF1
38051	AGGF1P1
38052	AGGF1P2
38053	AGGF1P3
38054	AGGF1P4
51741	AGGF1P5
51744	AGGF1P6
51740	AGGF1P7
51745	AGGF1P8
51746	AGGF1P9
51747	AGGF1P10
21869	AGK
37661	AGKP1
321	AGL
18407	AGMAT
33784	AGMO
323	AGMX2
3262	AGO1
3263	AGO2
18421	AGO3
18424	AGO4
324	AGPAT1
325	AGPAT2
326	AGPAT3
20885	AGPAT4
20988	AGPAT4-IT1
20886	AGPAT5
37709	AGPAT5P1
327	AGPS
328	AGR2
24167	AGR3
329	AGRN
330	AGRP
333	AGT
17258	AGTPBP1
336	AGTR1
338	AGTR2
13539	AGTRAP
341	AGXT
14412	AGXT2
24618	AHCTF1
24620	AHCTF1P1
343	AHCY
344	AHCYL1
22204	AHCYL2
44993	AHCYP1
44994	AHCYP2
44995	AHCYP3
44996	AHCYP4
44997	AHCYP5
44998	AHCYP6
44999	AHCYP7
45000	AHCYP8
25230	AHDC1
21575	AHI1
347	AHNAK
20125	AHNAK2
348	AHR
346	AHRR
1189	AHSA1
20437	AHSA2
349	AHSG
18075	AHSP
350	AIC
13203	AICDA
25761	AIDA
352	AIF1
28904	AIF1L
8768	AIFM1
44884	AIFM1P1
21411	AIFM2
26398	AIFM3
21607	AIG1
43926	AIG1P1
355	AIH3
356	AIM1
17295	AIM1L
357	AIM2
10648	AIMP1
16543	AIMP1P1
43693	AIMP1P2
20609	AIMP2
358	AIP
359	AIPL1
360	AIRE
34515	AIRN
16304	AIS1
23054	AIS2
23083	AIS3
30801	AJAP1
20250	AJUBA
361	AK1
362	AK2
24037	AK2P1
33542	AK2P2
17376	AK3
31099	AK3P2
39062	AK3P3
39063	AK3P4
39064	AK3P5
39065	AK3P6
363	AK4
364	AK4P1
39066	AK4P2
21596	AK4P3
39067	AK4P4
39068	AK4P5
39069	AK4P6
365	AK5
49151	AK6
51678	AK6P1
51679	AK6P2
20091	AK7
26526	AK8
33814	AK9
28285	AKAIN1
367	AKAP1
372	AKAP2
373	AKAP3
374	AKAP4
375	AKAP5
376	AKAP6
377	AKAP7
378	AKAP8
29857	AKAP8L
49758	AKAP8P1
379	AKAP9
368	AKAP10
369	AKAP11
370	AKAP12
371	AKAP13
24061	AKAP14
18783	AKAP17A
38514	AKAP17BP
1170	AKIP1
25744	AKIRIN1
50794	AKIRIN1P1
50797	AKIRIN1P2
21407	AKIRIN2
50796	AKIRIN2P1
24108	AKNA
28398	AKNAD1
380	AKR1A1
381	AKR1B1
420	AKR1B1P1
425	AKR1B1P2
422	AKR1B1P3
423	AKR1B1P4
20002	AKR1B1P5
33498	AKR1B1P6
33497	AKR1B1P7
33496	AKR1B1P8
382	AKR1B10
45062	AKR1B10P1
45063	AKR1B10P2
37281	AKR1B15
384	AKR1C1
385	AKR1C2
386	AKR1C3
387	AKR1C4
44679	AKR1C5P
44680	AKR1C6P
44681	AKR1C7P
23469	AKR1C8P
388	AKR1D1
11288	AKR1D1P1
23437	AKR1E2
389	AKR7A2
24062	AKR7A2P1
390	AKR7A3
24056	AKR7L
391	AKT1
28426	AKT1S1
392	AKT2
393	AKT3
41304	AKT3-IT1
16710	AKTIP
395	ALAD
396	ALAS1
397	ALAS2
399	ALB
400	ALCAM
402	ALDH1A1
15472	ALDH1A2
409	ALDH1A3
407	ALDH1B1
3978	ALDH1L1
40244	ALDH1L1-AS1
42446	ALDH1L1-AS2
26777	ALDH1L2
404	ALDH2
405	ALDH3A1
403	ALDH3A2
410	ALDH3B1
411	ALDH3B2
406	ALDH4A1
408	ALDH5A1
7179	ALDH6A1
877	ALDH7A1
878	ALDH7A1P1
879	ALDH7A1P2
