HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:81	ABR		29
HGNC:55674	ABR-AS1		105371479
HGNC:30655	ABRA		137735
HGNC:21230	ABRACL	C6orf115	58527
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	84142
HGNC:56461	ABRAXAS1P1		100421580
HGNC:56462	ABRAXAS1P2		100133073
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	23172
HGNC:17369	ABT1		29777
HGNC:39557	ABT1P1		100420695
HGNC:18275	ABTB1		80325
HGNC:23842	ABTB2		25841
HGNC:23844	ABTB3	BTBD11	121551
HGNC:82	ACAA1		30
HGNC:83	ACAA2		10449
HGNC:55880	ACAA2P1		100420869
HGNC:84	ACACA	ACAC, ACC	31
HGNC:85	ACACB		32
HGNC:87	ACAD8		27034
HGNC:21497	ACAD9		28976
HGNC:56086	ACAD9-DT		123706524
HGNC:21597	ACAD10		80724
HGNC:30211	ACAD11		84129
HGNC:88	ACADL		33
HGNC:89	ACADM		34
HGNC:90	ACADS		35
HGNC:91	ACADSB		36
HGNC:92	ACADVL		37
HGNC:319	ACAN	MSK16, CSPG1, AGC1	176
HGNC:16467	ACAP1	CENTB1	9744
HGNC:16469	ACAP2	CENTB2	23527
HGNC:41426	ACAP2-IT1		
HGNC:16754	ACAP3	CENTB5	116983
HGNC:93	ACAT1	ACAT	38
HGNC:94	ACAT2		39
HGNC:15453	ACBD3	GOLPH1, GOCAP1	64746
HGNC:40701	ACBD3-AS1		107985353
HGNC:23337	ACBD4		79777
HGNC:23338	ACBD5		91452
HGNC:23339	ACBD6		84320
HGNC:17715	ACBD7		414149
HGNC:23989	ACCS		84680
HGNC:34391	ACCSL		390110
HGNC:56899	ACCSLP1		100422646
HGNC:25070	ACD		65057
HGNC:2707	ACE	DCP1	1636
HGNC:13557	ACE2		59272
HGNC:56255	ACE2-DT		104798195
HGNC:44365	ACE3P		100129123
HGNC:18356	ACER1	ASAH3	125981
HGNC:23675	ACER2	ASAH3L	340485
HGNC:54674	ACER2P1		645978
HGNC:16066	ACER3	PHCA	55331
HGNC:108	ACHE	YT	43
HGNC:17066	ACIN1	ACINUS	22985
HGNC:4035	ACKR1	FY, DARC	2532
HGNC:1565	ACKR2	CMKBR9, CCBP2	1238
HGNC:23692	ACKR3	CMKOR1, CXCR7	57007
HGNC:1611	ACKR4	CCRL1	51554
HGNC:21142	ACKR4P1	CCRL1P, CCRL1P1	285737
HGNC:115	ACLY		47
HGNC:19288	ACMSD		130013
HGNC:34504	ACNATP	BAATP1	347275
HGNC:117	ACO1	IREB1	48
HGNC:118	ACO2		50
HGNC:56989	ACO2P1		441996
HGNC:56990	ACO2P2		343508
HGNC:33904	ACOD1	IRG1	730249
HGNC:33128	ACOT1		641371
HGNC:18431	ACOT2		10965
HGNC:19748	ACOT4		122970
HGNC:33159	ACOT6	C14orf42	641372
HGNC:24157	ACOT7		11332
HGNC:15919	ACOT8	PTE1	10005
HGNC:17152	ACOT9		23597
HGNC:18156	ACOT11	THEA	26027
HGNC:24436	ACOT12		134526
HGNC:20999	ACOT13	THEM2	55856
HGNC:119	ACOX1		51
HGNC:120	ACOX2		8309
HGNC:121	ACOX3		8310
HGNC:25621	ACOXL		55289
HGNC:41112	ACOXL-AS1		400997
HGNC:122	ACP1		52
HGNC:123	ACP2		53
HGNC:125	ACP3	ACPP	55
HGNC:14376	ACP4	ACPT	93650
HGNC:124	ACP5		54
HGNC:29609	ACP6		51205
HGNC:33781	ACP7		390928
HGNC:126	ACR		49
HGNC:17195	ACRBP		84519
HGNC:54745	ACRP1		645529
HGNC:127	ACRV1		56
HGNC:29567	ACSBG1		23205
HGNC:24174	ACSBG2		81616
HGNC:26101	ACSF2		80221
HGNC:27288	ACSF3		197322
HGNC:3569	ACSL1	FACL2	2180
HGNC:3570	ACSL3	FACL3	2181
HGNC:40227	ACSL3-AS1		105373904
HGNC:56529	ACSL3P1		100421637
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	2182
HGNC:16526	ACSL5	FACL5	51703
HGNC:16496	ACSL6	FACL6	23305
HGNC:40772	ACSL6-AS1		101927693
HGNC:18049	ACSM1	BUCS1	116285
HGNC:32017	ACSM2A	ACSM2	123876
HGNC:30931	ACSM2B	ACSM2	348158
HGNC:10522	ACSM3	SAH	6296
HGNC:32016	ACSM4		341392
HGNC:26060	ACSM5		54988
HGNC:51295	ACSM5P1		100421779
HGNC:31665	ACSM6	C10orf129	142827
HGNC:16091	ACSS1	ACAS2L	84532
HGNC:15814	ACSS2	ACAS2	55902
HGNC:24723	ACSS3		79611
HGNC:129	ACTA1	ACTA	58
HGNC:130	ACTA2		59
HGNC:45169	ACTA2-AS1		100132116
HGNC:132	ACTB		60
HGNC:17780	ACTBL2		345651
HGNC:134	ACTBP1		643309
HGNC:135	ACTBP2		62
HGNC:136	ACTBP3		63
HGNC:137	ACTBP4		64
HGNC:139	ACTBP6		66
HGNC:140	ACTBP7		67
HGNC:141	ACTBP8		68
HGNC:142	ACTBP9		69
HGNC:31819	ACTBP10		446207
HGNC:33971	ACTBP11		644220
HGNC:150	ACTBP12	ACTGP5	100462767
HGNC:45086	ACTBP14		389976
HGNC:55065	ACTBP15		391334
HGNC:56590	ACTBP16		100132223
HGNC:143	ACTC1	ACTC	70
HGNC:51491	ACTE1P		399923
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26	71
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1	73
HGNC:147	ACTG1P2	ACTL2, ACTGP2	74
HGNC:148	ACTG1P3	ACTGP3	75
HGNC:149	ACTG1P4	ACTGP4	648740
HGNC:151	ACTG1P6	ACTGP6	78
HGNC:152	ACTG1P7	ACTGP7	79
HGNC:153	ACTG1P8	ACTGP8	80
HGNC:154	ACTG1P9	ACTGP9	82
HGNC:155	ACTG1P10	ACTL1, ACTGP10	83
HGNC:37651	ACTG1P11		414754
HGNC:44496	ACTG1P12		100418921
HGNC:49058	ACTG1P13		100418920
HGNC:49751	ACTG1P14		100418910
HGNC:51495	ACTG1P15		100418951
HGNC:51496	ACTG1P16		100418960
HGNC:51497	ACTG1P17		283693
