HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:13310	GPRC5D		55507
HGNC:53599	GPRC5D-AS1		
HGNC:18510	GPRC6A		222545
HGNC:24835	GPRIN1		114787
HGNC:23730	GPRIN2	KIAA0514	9721
HGNC:27733	GPRIN3		285513
HGNC:4549	GPS1		2873
HGNC:4550	GPS2		2874
HGNC:49622	GPS2P1		392281
HGNC:49623	GPS2P2		100132058
HGNC:17858	GPSM1		26086
HGNC:29501	GPSM2	DFNB82	29899
HGNC:13945	GPSM3	C6orf9	63940
HGNC:4552	GPT		2875
HGNC:18062	GPT2		84706
HGNC:4553	GPX1		2876
HGNC:4560	GPX1P1	GPXL2, GPXP1	441481
HGNC:4561	GPX1P2	GPXL1, GPXP2	2884
HGNC:4554	GPX2		2877
HGNC:4555	GPX3		2878
HGNC:4556	GPX4		2879
HGNC:4557	GPX5		2880
HGNC:4558	GPX6	GPXP3	257202
HGNC:4559	GPX7		2882
HGNC:33100	GPX8		493869
HGNC:29305	GRAMD1A	KIAA1533	57655
HGNC:55275	GRAMD1A-AS1		
HGNC:29214	GRAMD1B	LINC01059	57476
HGNC:25252	GRAMD1C		54762
HGNC:27287	GRAMD2A	GRAMD2	196996
HGNC:24911	GRAMD2B	GRAMD3	65983
HGNC:29113	GRAMD4		23151
HGNC:39653	GRAMD4P1		100631252
HGNC:39654	GRAMD4P2		100873881
HGNC:49138	GRAMD4P3		100631248
HGNC:49139	GRAMD4P4		
HGNC:49140	GRAMD4P5		100631249
HGNC:49141	GRAMD4P6		100631250
HGNC:49142	GRAMD4P7		100631251
HGNC:49143	GRAMD4P8		100631247
HGNC:4562	GRAP		10750
HGNC:4563	GRAP2		9402
HGNC:37240	GRAPL	GRAPLDR	400581
HGNC:26214	GRAPL-AS1		79999
HGNC:30963	GRASLND	RNF144A-AS1	386597
HGNC:4566	GRB2		2885
HGNC:4567	GRB7		2886
HGNC:4564	GRB10		2887
HGNC:4565	GRB14		2888
HGNC:24885	GREB1		9687
HGNC:31042	GREB1L	KIAA1772	80000
HGNC:55323	GREB1L-DT		101927496
HGNC:2001	GREM1	CKTSF1B1, CRAC1	26585
HGNC:55411	GREM1-AS1		100131315
HGNC:17655	GREM2		64388
HGNC:27549	GREP1	LINC00514	283875
HGNC:17923	GRHL1	TFCP2L2	29841
HGNC:2799	GRHL2	DFNA28, TFCP2L3	79977
HGNC:55466	GRHL2-DT		107986962
HGNC:25839	GRHL3	TFCP2L4	57822
HGNC:41119	GRHL3-AS1		105376871
HGNC:4570	GRHPR	GLXR, GLYD	9380
HGNC:4571	GRIA1	GLUR1	2890
HGNC:4572	GRIA2	GLUR2	2891
HGNC:4573	GRIA3	GLUR3	2892
HGNC:4574	GRIA4	GLUR4	2893
HGNC:4575	GRID1		2894
HGNC:44131	GRID1-AS1		100507470
HGNC:4576	GRID2		2895
HGNC:18464	GRID2IP		392862
HGNC:4577	GRIFIN		402635
HGNC:4579	GRIK1	GLUR5	2897
HGNC:16458	GRIK1-AS1	C21orf9, NCRNA00110, GRIK1AS, GRIK1-AS	642976
HGNC:1282	GRIK1-AS2	C21orf41, NCRNA00258	100379661
HGNC:4580	GRIK2	GLUR6	2898
HGNC:4581	GRIK3		2899
HGNC:4582	GRIK4	GRIK	2900
HGNC:4583	GRIK5	GRIK2	2901
HGNC:4584	GRIN1	NMDAR1	2902
HGNC:4585	GRIN2A	NMDAR2A	2903
HGNC:4586	GRIN2B	NMDAR2B	2904
HGNC:4587	GRIN2C	NMDAR2C	2905
HGNC:4588	GRIN2D	NMDAR2D	2906
HGNC:16767	GRIN3A		116443
HGNC:16768	GRIN3B		116444
HGNC:4589	GRINA	NMDARA1	2907
HGNC:18708	GRIP1		23426
HGNC:23841	GRIP2		80852
HGNC:18706	GRIPAP1		56850
HGNC:10013	GRK1	RHOK	6011
HGNC:289	GRK2	ADRBK1	156
HGNC:290	GRK3	ADRBK2	157
HGNC:55679	GRK3-AS1		100996404
HGNC:4543	GRK4	GPRK2L	2868
HGNC:4544	GRK5	GPRK5	2869
HGNC:49478	GRK5-IT1		101927868
HGNC:4545	GRK6	GPRK6	2870
HGNC:4547	GRK6P1	GPRK6L, GPRK6P, GRK6PS	2871
HGNC:17031	GRK7	GPRK7	131890
HGNC:4593	GRM1		2911
HGNC:4594	GRM2		2912
HGNC:4595	GRM3		2913
HGNC:40264	GRM3-AS1		112268007
HGNC:4596	GRM4		2914
HGNC:4597	GRM5		2915
HGNC:40265	GRM5-AS1		
HGNC:55419	GRM5P1		440040
HGNC:4598	GRM6		2916
HGNC:4599	GRM7		2917
HGNC:40267	GRM7-AS1		
HGNC:40266	GRM7-AS2		
HGNC:42444	GRM7-AS3		101927347
HGNC:4600	GRM8		2918
HGNC:40268	GRM8-AS1		101928333
HGNC:4601	GRN		2896
HGNC:4605	GRP		2922
HGNC:19696	GRPEL1		80273
HGNC:21060	GRPEL2		134266
HGNC:48999	GRPEL2-AS1		106144529
HGNC:41969	GRPEL2P1		
HGNC:41970	GRPEL2P2		100129994
HGNC:41971	GRPEL2P3		100129871
HGNC:4609	GRPR		2925
HGNC:4610	GRSF1		2926
HGNC:20310	GRTP1		79774
HGNC:39917	GRTP1-AS1		
HGNC:21270	GRWD1		83743
HGNC:31673	GRXCR1	DFNB25	389207
HGNC:33862	GRXCR2		643226
HGNC:30229	G0S2		50486
HGNC:28042	GSAP	PION	54103
HGNC:4612	GSC		145258
HGNC:53074	GSC-DT		
HGNC:4613	GSC2	GSCL	2928
HGNC:56879	GSCAR		124901024
HGNC:13311	GSDMA	GSDM, GSDM1	284110
HGNC:23690	GSDMB	GSDML	55876
HGNC:7151	GSDMC	MLZE	56169
HGNC:25697	GSDMD	GSDMDC1	79792
HGNC:2810	GSDME	DFNA5	1687
HGNC:28979	GSE1	KIAA0182	23199
HGNC:48645	GSEC	ST3GAL4-AS1	399972
HGNC:19716	GSG1		83445
HGNC:28283	GSG1L		146395
HGNC:51826	GSG1L2		644070
HGNC:4616	GSK3A		2931
HGNC:4617	GSK3B		2932
HGNC:55635	GSK3B-DT		107986119
HGNC:20343	GSKIP	C14orf129	51527
HGNC:4620	GSN		2934
HGNC:23372	GSN-AS1	C9orf31	57000
HGNC:4621	GSPT1		2935
HGNC:4622	GSPT2		23708
HGNC:4623	GSR		2936
HGNC:4624	GSS		2937
HGNC:4626	GSTA1		2938
HGNC:4627	GSTA2	GST2	2939
HGNC:4628	GSTA3		2940
HGNC:4629	GSTA4		2941
HGNC:19662	GSTA5		221357
HGNC:4630	GSTA6P	GSTAP1	2942
HGNC:4631	GSTA7P	GSTAP2	730152
HGNC:49903	GSTA8P		100420627
HGNC:49902	GSTA9P		100174857
HGNC:49904	GSTA10P		647177
HGNC:49905	GSTA11P		647175
HGNC:49906	GSTA12P		647169
HGNC:25806	GSTCD		79807
HGNC:41117	GSTCD-AS1		101929529
HGNC:16906	GSTK1		373156
HGNC:4632	GSTM1	GST1	2944
HGNC:4634	GSTM2		2946
HGNC:38009	GSTM2P1		442245
HGNC:4635	GSTM3		2947
HGNC:16606	GSTM3P1	GSTM3P	170523
HGNC:38006	GSTM3P2		100421057
HGNC:4636	GSTM4		2948
HGNC:4637	GSTM5		2949
HGNC:4633	GSTM5P1	GST1L, GSTM1L	100505557
HGNC:13312	GSTO1		9446
HGNC:23064	GSTO2		119391
HGNC:23065	GSTO3P	GSTO3P1	344813
HGNC:4638	GSTP1	FAEES3, GST3	2950
HGNC:4640	GSTP1P1	GST3L, GSTPL, GSTPP	2951
HGNC:4641	GSTT1		2952
HGNC:51839	GSTT1-AS1		106099130
HGNC:4642	GSTT2		2953
HGNC:33437	GSTT2B		653689
HGNC:55078	GSTT3P		
HGNC:26930	GSTT4	GSTTP1	25774
HGNC:33606	GSTTP2		653399
HGNC:4643	GSTZ1		2954
HGNC:20374	GSX1	GSH1	219409
HGNC:24959	GSX2		170825
HGNC:20887	GTDC1		79712
HGNC:4646	GTF2A1		2957
HGNC:56195	GTF2A1-AS1		101928504
HGNC:30727	GTF2A1L		11036
HGNC:4647	GTF2A2		2958
HGNC:4648	GTF2B		2959
HGNC:4650	GTF2E1		2960
HGNC:4651	GTF2E2		2961
HGNC:4652	GTF2F1		2962
HGNC:4653	GTF2F2		2963
HGNC:4654	GTF2F2P1	GTF2F2L	2964
HGNC:39092	GTF2F2P2		728633
HGNC:4655	GTF2H1		2965
HGNC:4656	GTF2H2		2966
HGNC:31393	GTF2H2B		653238
HGNC:31394	GTF2H2C		728340
HGNC:35418	GTF2H2C_2	GTF2H2D	730394
HGNC:4657	GTF2H3		2967
HGNC:4658	GTF2H4		2968
HGNC:21157	GTF2H5	C6orf175, TTD	404672
HGNC:4659	GTF2I	WBSCR6	2969
HGNC:55572	GTF2I-AS1		101926943
HGNC:4660	GTF2IP1	WBSCR7	2970
HGNC:16082	GTF2IP2		338448
HGNC:42640	GTF2IP3		645686
HGNC:51716	GTF2IP4		100093631
HGNC:51717	GTF2IP5		100420546
HGNC:51718	GTF2IP6		101927390
HGNC:51720	GTF2IP7		
HGNC:51719	GTF2IP8		101927717
HGNC:51721	GTF2IP9		
HGNC:51722	GTF2IP10		
HGNC:51724	GTF2IP11		
HGNC:51723	GTF2IP12		
HGNC:51725	GTF2IP13		
HGNC:51726	GTF2IP14		
HGNC:51727	GTF2IP15		107403154
HGNC:51728	GTF2IP16		
HGNC:51729	GTF2IP17		
HGNC:51731	GTF2IP19		
HGNC:51732	GTF2IP20		441124
HGNC:51733	GTF2IP21		
HGNC:51734	GTF2IP22		
HGNC:51735	GTF2IP23		
HGNC:4661	GTF2IRD1	WBSCR11	9569
HGNC:44136	GTF2IRD1P1		729156
HGNC:30775	GTF2IRD2		84163
HGNC:33125	GTF2IRD2B		389524
HGNC:33127	GTF2IRD2P1	GTF2IRD2P	401375
HGNC:4662	GTF3A		2971
HGNC:49744	GTF3AP1		100135064
HGNC:49745	GTF3AP2		
HGNC:49746	GTF3AP3		
HGNC:49747	GTF3AP4		100420593
HGNC:49748	GTF3AP5		100128217
HGNC:49749	GTF3AP6		100135063
HGNC:4664	GTF3C1		2975
HGNC:4665	GTF3C2		2976
HGNC:40269	GTF3C2-AS1		100505624
HGNC:55699	GTF3C2-AS2		105374363
HGNC:4666	GTF3C3		9330
HGNC:4667	GTF3C4		9329
HGNC:4668	GTF3C5		9328
HGNC:20872	GTF3C6	C6orf51	112495
HGNC:55023	GTF3C6P1		100129001
HGNC:55024	GTF3C6P2		644563
HGNC:55025	GTF3C6P3		646745
HGNC:4669	GTPBP1		9567
HGNC:4670	GTPBP2		54676
HGNC:14880	GTPBP3		84705
HGNC:21535	GTPBP4		23560
HGNC:30189	GTPBP6		8225
HGNC:25007	GTPBP8		29083
HGNC:25106	GTPBP10		85865
HGNC:18406	GTSCR1		220158
HGNC:13698	GTSE1		51512
HGNC:27163	GTSE1-DT	GTSE1-AS1	150384
HGNC:26565	GTSF1	FAM112B	121355
HGNC:16198	GTSF1L	C20orf65, FAM112A	149699
HGNC:4678	GUCA1A	GUCA, GUCA1, C6orf131	2978
HGNC:56129	GUCA1ANB-GUCA1A		118142757
HGNC:4679	GUCA1B		2979
HGNC:4680	GUCA1C		9626
HGNC:4682	GUCA2A	GUCA2	2980
HGNC:4683	GUCA2B		2981
HGNC:14237	GUCD1	C22orf13	83606
HGNC:4685	GUCY1A1	GUC1A3, GUCY1A3	2982
HGNC:4684	GUCY1A2	GUC1A2	2977
HGNC:4687	GUCY1B1	GUC1B3, GUCY1B3	2983
HGNC:4686	GUCY1B2		2974
HGNC:4688	GUCY2C	GUC2C	2984
HGNC:56054	GUCY2C-AS1		
HGNC:4689	GUCY2D	CORD6, LCA, GUC2D, GUC1A4	3000
HGNC:4690	GUCY2EP	GUCY2E	390226
HGNC:4691	GUCY2F		2986
HGNC:31863	GUCY2GP	GUCY2G	390003
HGNC:25799	GUF1		60558
HGNC:4693	GUK1		2987
HGNC:4694	GUK2		2988
HGNC:4695	GULOP		2989
HGNC:18649	GULP1		51454
HGNC:4696	GUSB		2990
HGNC:13670	GUSBP1		728411
HGNC:18792	GUSBP2	SMAC3L2, GUSBL1	387036
HGNC:37301	GUSBP3		653188
HGNC:18220	GUSBP4	C6orf216, SMAC3L, GUSBL2	375513
HGNC:42319	GUSBP5		441046
HGNC:42320	GUSBP6		
HGNC:42321	GUSBP7		100132456
HGNC:42322	GUSBP8		441066
HGNC:42323	GUSBP9		118126072
HGNC:42324	GUSBP10		642006
HGNC:42325	GUSBP11		91316
HGNC:42326	GUSBP12		642007
HGNC:54495	GUSBP13		100287046
HGNC:54496	GUSBP14		11039
HGNC:54497	GUSBP15		11042
HGNC:54498	GUSBP16		653080
HGNC:54970	GUSBP17		100049076
HGNC:55770	GUSBP18		643373
HGNC:55771	GUSBP19		100133050
HGNC:25813	GVINP1	GVIN1, GVIN1P	387751
HGNC:38876	GVINP2		100128135
HGNC:51239	GVQW3		100506127
HGNC:27482	GXYLT1	GLT8D3	283464
HGNC:39676	GXYLT1P1		100101111
HGNC:39677	GXYLT1P2		441958
HGNC:50422	GXYLT1P3		100132541
HGNC:50423	GXYLT1P4		100132441
HGNC:50424	GXYLT1P5		100131760
HGNC:50425	GXYLT1P6		100132672
HGNC:54735	GXYLT1P7		100130488
HGNC:33383	GXYLT2	GLT8D4	727936
HGNC:4699	GYG1	GYG	2992
HGNC:39712	GYG1P1		100132965
HGNC:39710	GYG1P2		647317
HGNC:39711	GYG1P3		645506
HGNC:4700	GYG2		8908
HGNC:40270	GYG2-AS1		
HGNC:4701	GYG2P1	GYG2P	352887
HGNC:39713	GYG2P2		100418892
HGNC:4702	GYPA	MNS	2993
HGNC:4703	GYPB	MNS	2994
HGNC:4704	GYPC		2995
HGNC:4705	GYPE		2996
HGNC:4706	GYS1	GYS	2997
HGNC:4707	GYS2		2998
HGNC:15808	GZF1	ZNF336	64412
HGNC:4708	GZMA	HFSP, CTLA3	3001
HGNC:44137	GZMAP1		
HGNC:4709	GZMB	CTLA1, CSPB	3002
HGNC:4710	GZMH	CTSGL2	2999
HGNC:4711	GZMK		3003
HGNC:4712	GZMM		3004
HGNC:4714	H1-0	H1FV, H1F0	3005
HGNC:4715	H1-1	H1F1, HIST1H1A	3024
HGNC:4716	H1-2	H1F2, HIST1H1C	3006
HGNC:4717	H1-3	H1F3, HIST1H1D	3007
HGNC:4718	H1-4	H1F4, HIST1H1E	3008
HGNC:4719	H1-5	H1F5, HIST1H1B	3009
HGNC:4720	H1-6	H1FT, HIST1H1T	3010
HGNC:24893	H1-7	H1FNT	341567
HGNC:18463	H1-8	H1FOO	132243
HGNC:56427	H1-8P1		642487
HGNC:56428	H1-8P2		100130048
HGNC:30616	H1-9P	HILS1, H1-9	373861
HGNC:4722	H1-10	H1FX	8971
HGNC:27953	H1-10-AS1	C3orf47, H1FX-AS1	339942
HGNC:19163	H1-12P	HIST1H1PS1	387325
HGNC:22516	H2AB1	H2AFB1	474382
HGNC:18298	H2AB2	H2AFB2	474381
HGNC:14455	H2AB3	H2AFB, H2AFB3	83740
HGNC:18729	H2AC1	HIST1H2AA	221613
HGNC:18720	H2AC2P	HIST1H2APS1	387319
HGNC:18804	H2AC3P	H2AFTP, HIST1H2APS2	85303
HGNC:4734	H2AC4	H2AFM, HIST1H2AB	8335
HGNC:4728	H2AC5P	H2AFFP, HIST1H2APS5	10341
HGNC:4733	H2AC6	H2AFL, HIST1H2AC	8334
HGNC:4729	H2AC7	H2AFG, HIST1H2AD	3013
HGNC:4724	H2AC8	H2AFA, HIST1H2AE	3012
HGNC:18805	H2AC9P	HIST1H2APS3	387323
HGNC:4732	H2AC10P	H2AFK, H2AFKP, HIST1H2APS4	8333
HGNC:4737	H2AC11	H2AFP, HIST1H2AG	8969
HGNC:13671	H2AC12	HIST1H2AH	85235
HGNC:4725	H2AC13	H2AFC, HIST1H2AI	8329
HGNC:4727	H2AC14	H2AFE, HIST1H2AJ	8331
HGNC:4726	H2AC15	H2AFD, HIST1H2AK	8330
HGNC:4730	H2AC16	H2AFI, HIST1H2AL	8332
HGNC:4735	H2AC17	H2AFN, HIST1H2AM	8336
HGNC:4736	H2AC18	H2AFO, HIST2H2AA, HIST2H2AA3	8337
HGNC:29668	H2AC19	HIST2H2AA4	723790
HGNC:4738	H2AC20	H2A, H2AFQ, HIST2H2AC	8338
HGNC:20508	H2AC21	HIST2H2AB	317772
HGNC:20507	H2AC25	HIST3H2A, H2AW	92815
HGNC:42647	H2ACP1	HIST1H2APS6	100509927
HGNC:54439	H2ACP2		115482716
HGNC:14456	H2AJ	H2AFJ	55766
HGNC:53961	H2AL1MP	H2AL1SP	115482687
HGNC:53959	H2AL1Q	H2AL1QP	115482714
HGNC:53960	H2AL3	H2AL1RP	115482686
HGNC:18417	H2AP	CXorf27, HYPM	25763
HGNC:53962	H2AQ1P		115482715
HGNC:4739	H2AX	H2AFX	3014
HGNC:4741	H2AZ1	H2AZ, H2AFZ	3015
HGNC:40271	H2AZ1-DT		256880
HGNC:20664	H2AZ2	H2AV, H2AFV	94239
HGNC:52775	H2AZ2-DT	LINC01952	105375261
HGNC:31026	H2AZ2P1	H2AFVP, H2AFVP1	654500
HGNC:4742	H2AZP1	H2AFZP, H2AFZP1	54049
HGNC:32279	H2AZP2	H2AFZP2	346990
HGNC:38013	H2AZP3	H2AFZP3	728023
HGNC:38015	H2AZP4	H2AFZP4	100462795
HGNC:38018	H2AZP5	H2AFZP5	100288330
HGNC:38019	H2AZP6	H2AFZP6	100462800
HGNC:54440	H2AZP7		115482726
HGNC:18730	H2BC1	HIST1H2BA	255626
HGNC:18719	H2BC2P	HIST1H2BPS1	100288742
HGNC:4751	H2BC3	H2BFF, HIST1H2BB	3018
HGNC:4757	H2BC4	H2BFL, HIST1H2BC	8347
HGNC:4747	H2BC5	H2BFB, HIST1H2BD	3017
HGNC:4753	H2BC6	H2BFH, HIST1H2BE	8344
HGNC:56682	H2BC6-AS1		
HGNC:4752	H2BC7	H2BFG, HIST1H2BF	8343
HGNC:4746	H2BC8	H2BFA, HIST1H2BG	8339
HGNC:4755	H2BC9	H2BFJ, HIST1H2BH	8345
HGNC:4756	H2BC10	H2BFK, HIST1H2BI	8346
HGNC:4761	H2BC11	H2BFR, HIST1H2BJ	8970
HGNC:13954	H2BC12	H2BFT, HIST1H2BK	85236
HGNC:4762	H2BC12L	H2BFS, H2BS1	54145
HGNC:4748	H2BC13	H2BFC, HIST1H2BL	8340
HGNC:4750	H2BC14	H2BFE, HIST1H2BM	8342
HGNC:4749	H2BC15	H2BFD, HIST1H2BN	8341
HGNC:4754	H2BC16P	H2BFIP, HIST1H2BPS2	10340
HGNC:4758	H2BC17	H2BFN, HIST1H2BO	8348
HGNC:24700	H2BC18	HIST2H2BF	440689
HGNC:20517	H2BC19P	H2BFO, HIST2H2BD	337874
HGNC:20516	H2BC20P	HIST2H2BC	337873
HGNC:4760	H2BC21	H2B, H2BFQ, HIST2H2BE	8349
HGNC:20514	H2BC26	HIST3H2BB, H2BU1	128312
HGNC:20515	H2BC27P	HIST3H2BA, H2BU2P	337872
HGNC:53833	H2BK1	H2BE1	114483833
HGNC:54442	H2BL1P	H2BP4	115482689
HGNC:56200	H2BN1		124188214
HGNC:20560	H2BP1	HIST2H2BA	337875
HGNC:20654	H2BP2	HIST2H2BB	338391
HGNC:54441	H2BP3		391566
HGNC:54443	H2BP5		115482690
HGNC:42633	H2BP6	HIST1H2BPS3	100820735
HGNC:54444	H2BP7		115482717
HGNC:54445	H2BP8		115482725
HGNC:54446	H2BP9		115482691
HGNC:27252	H2BW1	H2BFWT	158983
HGNC:27867	H2BW2	H2BFM, H2BM	286436
HGNC:44390	H2BW3P		100101478
HGNC:25757	H2BW4P	H2BFXP	767811
HGNC:4764	H3-3A	H3F3, H3F3A	3020
HGNC:55210	H3-3A-DT		
HGNC:4765	H3-3B	H3F3B	3021
HGNC:4778	H3-4	H3FT, HIST3H3	8290
HGNC:33164	H3-5	H3F3C	440093
HGNC:32060	H3-7	HIST2H3PS2, H3-2	440686
HGNC:4766	H3C1	H3FA, HIST1H3A	8350
HGNC:4776	H3C2	H3FL, HIST1H3B	8358
HGNC:4768	H3C3	H3FC, HIST1H3C	8352
HGNC:4767	H3C4	H3FB, HIST1H3D	8351
HGNC:54427	H3C5P		115482688
HGNC:4769	H3C6	H3FD, HIST1H3E	8353
HGNC:4773	H3C7	H3FI, HIST1H3F	8968
HGNC:4772	H3C8	H3FH, HIST1H3G	8355
HGNC:18982	H3C9P	HIST1H3PS1	100289545
HGNC:4775	H3C10	H3FK, HIST1H3H	8357
HGNC:4771	H3C11	H3FF, HIST1H3I	8354
HGNC:4774	H3C12	H3FJ, HIST1H3J	8356
HGNC:25311	H3C13	HIST2H3D	653604
HGNC:20503	H3C14	H3F2, H3FM, HIST2H3C	126961
HGNC:20505	H3C15	HIST2H3A	333932
HGNC:43794	H3P1		
HGNC:43795	H3P2		115482681
HGNC:43796	H3P3		
HGNC:43797	H3P4	HIST2H3DP1	
HGNC:43798	H3P5		115482712
HGNC:42980	H3P6	H3F3AP4	440926
HGNC:43799	H3P7		115482683
HGNC:54449	H3P8		
HGNC:43801	H3P9		115482684
HGNC:43802	H3P10		115482713
HGNC:43803	H3P11		115482708
HGNC:42873	H3P12	H3F3AP3	100689229
HGNC:43804	H3P13		115482685
HGNC:43805	H3P14		107986209
HGNC:54450	H3P15		100419353
HGNC:42982	H3P16	H3F3AP6	644914
HGNC:54451	H3P17		
HGNC:54452	H3P18		391744
HGNC:54453	H3P19		115482709
HGNC:54454	H3P20		100289141
HGNC:54455	H3P21		391765
HGNC:54456	H3P22		115482719
HGNC:54457	H3P23		115482696
HGNC:54458	H3P24		115482697
HGNC:54459	H3P25		115482720
HGNC:4770	H3P26	H3FEP, HIST1H1PS2	10338
HGNC:54460	H3P27		115482698
HGNC:54461	H3P28		115482699
HGNC:54462	H3P29		115482721
HGNC:54463	H3P30		115482700
HGNC:54464	H3P31		
HGNC:54465	H3P32		115482701
HGNC:54466	H3P33		115482722
HGNC:54467	H3P34		
HGNC:54468	H3P35		115482703
HGNC:42030	H3P36	H3F3BP1	100287087
HGNC:19823	H3P37	H3F3AP2	664611
HGNC:31028	H3P38	H3F3AP1	654505
HGNC:54469	H3P39		115482707
HGNC:54470	H3P40		115482723
HGNC:42979	H3P41	H3F3BP2	100420410
HGNC:54471	H3P42		115482704
HGNC:54472	H3P43		100506811
HGNC:42981	H3P44	H3F3AP5	347376
HGNC:54473	H3P45		115482705
HGNC:54474	H3P46		115482724
HGNC:54475	H3P47		115482706
HGNC:43735	H3Y1		391769
HGNC:43734	H3Y2		340096
HGNC:4781	H4C1	H4FA, HIST1H4A	8359
HGNC:4789	H4C2	H4FI, HIST1H4B	8366
HGNC:4787	H4C3	H4FG, HIST1H4C	8364
HGNC:4782	H4C4	H4FB, HIST1H4D	8360
HGNC:4790	H4C5	H4FJ, HIST1H4E	8367
HGNC:4783	H4C6	H4FC, HIST1H4F	8361
HGNC:4792	H4C7	H4FL, HIST1H4G	8369
HGNC:4788	H4C8	H4FH, HIST1H4H	8365
HGNC:4793	H4C9	H4FM, HIST1H4I	8294
HGNC:4786	H4C10P	H4FFP, HIST1H4PS1	10337
HGNC:4785	H4C11	H4FE, HIST1H4J	8363
HGNC:4784	H4C12	H4FD, HIST1H4K	8362
HGNC:4791	H4C13	H4FK, HIST1H4L	8368
HGNC:4794	H4C14	H4F2, H4FN, HIST2H4, H4/n, HIST2H4A	8370
HGNC:29607	H4C15	HIST2H4B	554313
HGNC:20510	H4C16	HIST4H4, H4-16	121504
HGNC:54447	H4P1		
HGNC:4795	H6PD	GDH	9563
HGNC:4713	H19		283120
HGNC:4796	HAAO		23498
HGNC:4798	HABP2		3026
HGNC:17062	HABP4		22927
HGNC:9639	HACD1	PTPLA	9200
HGNC:9640	HACD2	PTPLB	201562
HGNC:24175	HACD3	PTPLAD1	51495
HGNC:20920	HACD4	PTPLAD2	401494
HGNC:21033	HACE1		57531
HGNC:17856	HACL1	HPCL	26061
HGNC:4799	HADH	HADHSC	3033
HGNC:4801	HADHA		3030
HGNC:4802	HADHAP1	HADHAP	3031
HGNC:38585	HADHAP2		399994
HGNC:4803	HADHB		3032
HGNC:54887	HADHBP1		100287928
HGNC:56694	HAFML		105377555
HGNC:4805	HAGH		3029
HGNC:14177	HAGHL		84264
HGNC:43755	HAGLR	HOXD-AS1	401022
HGNC:50646	HAGLROS		102800310
HGNC:4806	HAL	HIS	3034
HGNC:15598	HAMP		57817
HGNC:4807	HAND1		9421
HGNC:4808	HAND2		9464
HGNC:48872	HAND2-AS1		79804
HGNC:4809	HAO1	GOX1	54363
HGNC:4810	HAO2		51179
HGNC:41342	HAO2-IT1		
HGNC:4812	HAP1	HAP2	9001
HGNC:2380	HAPLN1	CRTL1	1404
HGNC:17410	HAPLN2		60484
HGNC:21446	HAPLN3	EXLD1	145864
HGNC:31357	HAPLN4		404037
HGNC:30103	HAPSTR1	C16orf72	29035
HGNC:55138	HAPSTR2		389895
HGNC:33117	HAR1A		768096
HGNC:33118	HAR1B		768097
HGNC:26522	HARBI1	C11orf77	283254
HGNC:4816	HARS1	USH3B, HARS	3035
HGNC:4817	HARS2	HARSL	23438
HGNC:4818	HAS1	HAS	3036
HGNC:4819	HAS2		3037
HGNC:34340	HAS2-AS1	HAS2AS, HAS2-AS	594842
HGNC:4820	HAS3		3038
HGNC:19682	HASPIN	GSG2	83903
HGNC:4821	HAT1		8520
HGNC:25174	HAUS1	CCDC5	115106
HGNC:43760	HAUS1P1		728921
HGNC:43761	HAUS1P2		441484
HGNC:43762	HAUS1P3		100271703
HGNC:25530	HAUS2	C15orf25, CEP27	55142
HGNC:28719	HAUS3	C4orf15	79441
HGNC:20163	HAUS4	C14orf94	54930
HGNC:43763	HAUS4P1		100129402
HGNC:29130	HAUS5	KIAA0841	23354
HGNC:55291	HAUS5-DT		
HGNC:25948	HAUS6	FAM29A	54801
HGNC:43764	HAUS6P1		653175
HGNC:43765	HAUS6P2		100133268
HGNC:50772	HAUS6P3		
HGNC:32979	HAUS7	UCHL5IP	55559
HGNC:30532	HAUS8	HICE1	93323
HGNC:43766	HAUS8P1		100420901
HGNC:17866	HAVCR1		26762
HGNC:44033	HAVCR1P1		100101266
HGNC:44035	HAVCR1P2		100421002
HGNC:18437	HAVCR2		84868
HGNC:16915	HAX1		10456
HGNC:55151	HAX1P1		100129661
HGNC:4823	HBA1		3039
HGNC:4824	HBA2		3040
HGNC:4825	HBAP1		3041
HGNC:4827	HBB		3043
HGNC:4828	HBBP1		3044
HGNC:4829	HBD		3045
HGNC:4830	HBE1		3046
HGNC:3059	HBEGF	HEGFL, DTS, DTR	1839
HGNC:4831	HBG1		3047
HGNC:4832	HBG2		3048
HGNC:4826	HBM	HBAP2	3042
HGNC:23200	HBP1		26959
HGNC:4833	HBQ1		3049
HGNC:4834	HBS1L		10767
HGNC:4835	HBZ		3050
HGNC:4836	HBZP1	HBZP	3051
HGNC:4532	HCAR1	GPR104, GPR81	27198
HGNC:24827	HCAR2	GPR109A	338442
HGNC:16824	HCAR3	GPR109B	8843
HGNC:48612	HCCAT5		283902
HGNC:4837	HCCS	MLS	3052
HGNC:55698	HCCS-DT		
HGNC:4839	HCFC1	HFC1, MRX3	3054
HGNC:40273	HCFC1-AS1		
HGNC:21198	HCFC1R1		54985
HGNC:24972	HCFC2		29915
HGNC:39815	HCFC2P1		100419149
HGNC:21241	HCG4	HCG4P10	54435
HGNC:22919	HCG4B	HCG4P6	80868
HGNC:30978	HCG4P1		387503
HGNC:30979	HCG4P2		387504
HGNC:22922	HCG4P3		353001
HGNC:22924	HCG4P4		353002
HGNC:22925	HCG4P5		353003
